id: 702, score:   0.12, green: 13, yellow:  6, red:  8, rose:  4
id: 724, score:   0.12, green: 12, yellow: 11, red:  5, rose:  2
id: 727, score:   0.12, green: 12, yellow:  7, red:  9, rose:  6
id: 729, score:   0.12, green: 17, yellow:  7, red:  3, rose:  1
id: 732, score:   0.12, green:  9, yellow: 11, red:  7, rose:  3
id: 751, score:   0.12, green: 11, yellow:  8, red:  9, rose:  4
id: 757, score:   0.12, green: 14, yellow:  8, red:  5, rose:  3
id: 759, score:   0.12, green: 12, yellow:  4, red: 11, rose:  5
id: 761, score:   0.12, green: 14, yellow: 10, red:  3, rose:  1
id: 767, score:   0.12, green:  9, yellow:  7, red: 10, rose:  4
id: 773, score:   0.12, green: 12, yellow:  8, red:  7, rose:  5
id: 775, score:   0.12, green: 15, yellow:  9, red:  4, rose:  4
id: 778, score:   0.12, green: 12, yellow: 10, red:  6, rose:  4
id: 782, score:   0.12, green: 13, yellow:  5, red:  8, rose:  5
id: 805, score:   0.12, green: 14, yellow:  9, red:  4, rose:  1
id: 827, score:   0.12, green: 12, yellow:  5, red: 10, rose:  6
id: 832, score:   0.12, green: 12, yellow: 12, red:  4, rose:  1
id: 840, score:   0.12, green: 12, yellow:  7, red:  8, rose:  4
id: 841, score:   0.12, green: 14, yellow: 10, red:  3, rose:  1
id: 842, score:   0.12, green: 11, yellow:  5, red: 10, rose:  7
id: 843, score:   0.12, green: 10, yellow: 10, red:  8, rose:  3
id: 847, score:   0.12, green: 12, yellow:  8, red:  6, rose:  2
id: 858, score:   0.12, green: 16, yellow:  7, red:  3, rose:  2
id: 866, score:   0.12, green: 12, yellow:  7, red:  8, rose:  3
id: 873, score:   0.12, green: 13, yellow:  5, red:  8, rose:  5
id: 874, score:   0.12, green: 12, yellow:  8, red:  8, rose:  1
id: 877, score:   0.12, green: 11, yellow:  9, red:  7, rose:  7
id: 878, score:   0.12, green: 13, yellow: 10, red:  4, rose:  1
id: 885, score:   0.12, green: 11, yellow:  8, red:  7, rose:  2
id: 886, score:   0.12, green: 14, yellow:  9, red:  5, rose:  3
id: 898, score:   0.12, green: 11, yellow:  9, red:  7, rose:  4
id: 911, score:   0.12, green: 14, yellow:  4, red:  9, rose:  6
id: 912, score:   0.12, green: 12, yellow:  9, red:  6, rose:  4
id: 918, score:   0.12, green: 19, yellow:  4, red:  4, rose:  2
id: 932, score:   0.12, green:  6, yellow: 12, red:  9, rose:  5
id: 934, score:   0.12, green: 13, yellow: 11, red:  3, rose:  2
id: 940, score:   0.12, green: 15, yellow:  5, red:  7, rose:  3
id: 943, score:   0.12, green: 12, yellow: 11, red:  5, rose:  3
id: 945, score:   0.12, green: 15, yellow:  9, red:  3, rose:  1
id: 951, score:   0.12, green: 16, yellow:  6, red:  5, rose:  2
id: 953, score:   0.12, green: 11, yellow:  6, red: 10, rose:  5
id: 954, score:   0.12, green:  9, yellow: 10, red:  9, rose:  3
id: 957, score:   0.12, green: 15, yellow:  5, red:  6, rose:  2
id: 964, score:   0.12, green: 15, yellow: 10, red:  3, rose:  3
id: 969, score:   0.12, green: 16, yellow:  6, red:  4, rose:  0
id: 972, score:   0.12, green: 15, yellow:  9, red:  4, rose:  2
id: 985, score:   0.12, green: 12, yellow:  8, red:  8, rose:  4
id: 994, score:   0.12, green: 11, yellow:  8, red:  8, rose:  4
id:   0, score:   0.08, green: 12, yellow:  9, red:  5, rose:  2
id:   5, score:   0.08, green:  9, yellow: 10, red:  7, rose:  5
id:  14, score:   0.08, green: 10, yellow: 10, red:  7, rose:  3
id:  15, score:   0.08, green:  9, yellow:  8, red: 10, rose:  6
id:  16, score:   0.08, green: 13, yellow: 11, red:  3, rose:  2
id:  20, score:   0.08, green: 14, yellow:  7, red:  6, rose:  4
id:  21, score:   0.08, green: 16, yellow:  6, red:  4, rose:  3
id:  31, score:   0.08, green: 12, yellow:  8, red:  6, rose:  3
id:  36, score:   0.08, green: 14, yellow:  9, red:  3, rose:  1
id:  38, score:   0.08, green:  7, yellow: 10, red:  9, rose:  7
id:  39, score:   0.08, green: 11, yellow:  8, red:  8, rose:  4
id:  44, score:   0.08, green: 11, yellow:  9, red:  7, rose:  5
id:  52, score:   0.08, green: 12, yellow:  6, red:  8, rose:  2
id:  58, score:   0.08, green: 12, yellow: 10, red:  5, rose:  0
id:  59, score:   0.08, green: 14, yellow:  8, red:  5, rose:  2
id:  63, score:   0.08, green: 13, yellow:  7, red:  7, rose:  2
id:  64, score:   0.08, green: 12, yellow:  8, red:  5, rose:  3
id:  67, score:   0.08, green: 14, yellow:  6, red:  6, rose:  3
id:  75, score:   0.08, green: 12, yellow:  8, red:  6, rose:  5
id:  76, score:   0.08, green: 12, yellow:  9, red:  5, rose:  3
id:  77, score:   0.08, green: 13, yellow:  8, red:  4, rose:  0
id:  80, score:   0.08, green: 19, yellow:  4, red:  4, rose:  3
id:  81, score:   0.08, green: 13, yellow:  4, red:  9, rose:  7
id:  83, score:   0.08, green: 13, yellow:  5, red:  9, rose:  7
id:  87, score:   0.08, green: 12, yellow:  4, red: 10, rose:  8
id:  88, score:   0.08, green: 11, yellow:  8, red:  8, rose:  1
id:  89, score:   0.08, green: 12, yellow:  8, red:  7, rose:  5
id:  92, score:   0.08, green: 12, yellow:  8, red:  7, rose:  4
id:  93, score:   0.08, green: 13, yellow:  4, red:  9, rose:  4
id:  98, score:   0.08, green: 13, yellow: 11, red:  2, rose:  1
id: 103, score:   0.08, green: 12, yellow:  8, red:  7, rose:  2
id: 113, score:   0.08, green: 14, yellow:  8, red:  4, rose:  3
id: 117, score:   0.08, green: 16, yellow:  6, red:  4, rose:  2
id: 118, score:   0.08, green: 10, yellow:  9, red:  8, rose:  3
id: 126, score:   0.08, green: 16, yellow:  7, red:  3, rose:  2
id: 128, score:   0.08, green: 12, yellow: 11, red:  3, rose:  2
id: 129, score:   0.08, green:  8, yellow: 11, red:  7, rose:  2
id: 130, score:   0.08, green: 13, yellow:  9, red:  3, rose:  2
id: 134, score:   0.08, green: 11, yellow: 12, red:  4, rose:  2
id: 135, score:   0.08, green: 14, yellow:  7, red:  5, rose:  3
id: 142, score:   0.08, green: 13, yellow:  8, red:  6, rose:  2
id: 145, score:   0.08, green: 11, yellow:  9, red:  7, rose:  3
id: 147, score:   0.08, green: 17, yellow:  5, red:  5, rose:  4
id: 148, score:   0.08, green: 14, yellow:  6, red:  6, rose:  4
id: 156, score:   0.08, green: 14, yellow:  5, red:  7, rose:  4
id: 158, score:   0.08, green: 13, yellow:  7, red:  7, rose:  4
id: 164, score:   0.08, green: 17, yellow:  4, red:  4, rose:  0
id: 166, score:   0.08, green: 15, yellow:  2, red:  8, rose:  5
id: 173, score:   0.08, green: 14, yellow:  7, red:  6, rose:  2
id: 175, score:   0.08, green: 13, yellow:  4, red:  9, rose:  6
id: 177, score:   0.08, green: 13, yellow:  8, red:  5, rose:  2
id: 181, score:   0.08, green: 15, yellow:  7, red:  4, rose:  2
id: 183, score:   0.08, green: 14, yellow:  4, red:  8, rose:  6
id: 185, score:   0.08, green: 12, yellow:  9, red:  5, rose:  0
id: 186, score:   0.08, green: 16, yellow:  5, red:  5, rose:  2
id: 187, score:   0.08, green:  9, yellow: 10, red:  7, rose:  6
id: 189, score:   0.08, green: 15, yellow:  9, red:  3, rose:  3
id: 195, score:   0.08, green: 14, yellow:  8, red:  5, rose:  2
id: 201, score:   0.08, green: 14, yellow:  9, red:  3, rose:  0
id: 204, score:   0.08, green: 12, yellow:  7, red:  8, rose:  3
id: 205, score:   0.08, green: 12, yellow: 13, red:  2, rose:  2
id: 206, score:   0.08, green: 20, yellow:  4, red:  3, rose:  2
id: 207, score:   0.08, green: 14, yellow:  6, red:  7, rose:  6
id: 215, score:   0.08, green: 14, yellow:  6, red:  7, rose:  4
id: 218, score:   0.08, green: 16, yellow:  5, red:  5, rose:  4
id: 221, score:   0.08, green: 16, yellow:  6, red:  5, rose:  1
id: 225, score:   0.08, green: 11, yellow: 11, red:  4, rose:  2
id: 228, score:   0.08, green: 11, yellow:  9, red:  6, rose:  1
id: 231, score:   0.08, green:  9, yellow: 11, red:  7, rose:  5
id: 232, score:   0.08, green: 11, yellow:  7, red:  8, rose:  3
id: 233, score:   0.08, green: 11, yellow:  5, red: 10, rose:  2
id: 236, score:   0.08, green: 15, yellow:  8, red:  4, rose:  1
id: 238, score:   0.08, green: 10, yellow:  8, red:  9, rose:  2
id: 244, score:   0.08, green:  9, yellow: 10, red:  8, rose:  3
id: 245, score:   0.08, green: 13, yellow:  6, red:  7, rose:  3
id: 248, score:   0.08, green: 10, yellow: 11, red:  6, rose:  3
id: 250, score:   0.08, green: 12, yellow:  5, red: 10, rose:  3
id: 255, score:   0.08, green: 10, yellow: 13, red:  4, rose:  0
id: 256, score:   0.08, green: 16, yellow:  4, red:  6, rose:  4
id: 258, score:   0.08, green: 15, yellow:  7, red:  3, rose:  1
id: 261, score:   0.08, green: 12, yellow:  8, red:  7, rose:  2
id: 270, score:   0.08, green: 16, yellow:  8, red:  3, rose:  0
id: 271, score:   0.08, green: 13, yellow:  7, red:  7, rose:  2
id: 277, score:   0.08, green: 15, yellow:  8, red:  4, rose:  0
